### All Apps / Games simply search for the name and install with Muon Package Manager ####

#Name                       #Website

AssaultCube                 https://assault.cubers.net/


Cube 2: Sauerbraten         http://sauerbraten.org/


Alien Arena                 http://red.planetarena.org/index.html


OpenArena                   http://openarena.ws/smfnews.php


Warzone 2100                https://wz2100.net/


Nexuiz (Nexuiz Classic)    http://www.alientrap.com/games/nexuiz/
Nexuiz (xbox/steam)        http://www.nexuiz.com/


#################### NOT IN MOUN PACKAGE MANAGER BUT LINUX VERSION IS AVAILABLE ######################

Xonotic (MODERN FREE VERSION OF Nexuiz)     http://www.xonotic.org/
